Nr,X,Y
205,5537107.05,7471623.95
206,5537105.36,7471622.74
207,5537128.01,7471634.68
208,5537126.92,7471634.44
209,5537124.90,7471633.78
210,5537123.54,7471633.50
211,5537122.27,7471632.90
212,5537120.98,7471631.50
213,5537120.37,7471631.31
214,5537119.73,7471631.15
215,5537117.19,7471630.17
216,5537115.73,7471629.66
217,5537114.59,7471629.20
218,5537113.62,7471628.83
219,5537112.57,7471628.50
220,5537110.86,7471627.47
221,5537110.16,7471626.38
222,5537108.61,7471626.25
223,5537127.33,7471637.90
224,5537124.97,7471636.50
225,5537124.05,7471636.19
226,5537123.06,7471636.61
227,5537120.24,7471633.47
228,5537119.30,7471633.32
229,5537117.43,7471632.66
230,5537115.97,7471632.27
231,5537115.11,7471632.03
232,5537113.89,7471631.44
233,5537113.07,7471631.04
234,5537112.07,7471630.69
235,5537110.91,7471629.97
236,5537123.11,7471638.49
237,5537122.69,7471640.44
